تعملون, 83,   يعملون, 57,  ,  ,  عملون,  4, , , , , , 
تعلمون, 63,   يعلمون, 91,  ,  ,  علمون,  1, تعلموا۟, 4,   يعلموا۟, 1,  علموا۟,  1
تدعون, 24,   يدعون, 28,  ,  ,  ,  , تدعوا۟, 3,   يدعوا۟, 0,  دعوا۟,  1
تعقلون, 24,   يعقلون, 22,  ,  ,  ,  , , , , , , 
تعبدون, 23,   يعبدون, 14,  ,  ,  عبدون,  5, تعبدوا۟, 1,   يعبدوا۟, 2,  ,  
ترجعون, 20,   يرجعون, 22,  ,  ,  رجعون,  4, , , , , , 
تتقون, 19,   يتقون, 18,  متقون,  6,  ,  , تتقوا۟, 11,   يتقوا۟, 1,  ,  
تذكرون, 19,   يذكرون, 11,  ,  ,  ,  , تذكروا۟, 2,   يذكروا۟, 4,  ذكروا۟,  9
تشكرون, 19,   يشكرون, 9,  ,  ,  شكرون,  1, تشكروا۟, 1,   يشكروا۟, 0,  ,  
تكفرون, 14,   يكفرون, 14,  ,  ,  كفرون,  36, تكفروا۟, 3,   يكفروا۟, 6,  كفروا۟,  171
توعدون, 13,   يوعدون, 10,  ,  ,  ,  , , , , , , 
تأكلون, 12,   يأكلون, 10,  ,  ,  ,  , تأكلوا۟, 7,   يأكلوا۟, 2,  أكلوا۟,  1
تفلحون, 11,   يفلحون, 2,  مفلحون,  12,  ,  , , , , , , 
تقولون, 11,   يقولون, 92,  ,  ,  ,  , تقولوا۟, 14,   يقولوا۟, 15,  قولوا۟,  9
تأتون, 11,   يأتون, 6,  ,  ,  ,  , تأتوا۟, 1,   يأتوا۟, 6,  أتوا۟,  12
تكذبون, 10,   يكذبون, 5,  مكذبون,  1,  كذبون,  13, تكذبوا۟, 1,   يكذبوا۟, 0,  كذبوا۟,  55
تحشرون, 9,   يحشرون, 3,  ,  ,  ,  , , , , , , 
تبصرون, 9,   يبصرون, 13,  مبصرون,  1,  ,  , تبصروا۟, 0,   يبصروا۟, 1,  ,  
تحبون, 9,   يحبون, 8,  ,  ,  ,  , تحبوا۟, 1,   يحبوا۟, 0,  ,  
تقتلون, 8,   يقتلون, 20,  ,  ,  ,  , تقتلوا۟, 6,   يقتلوا۟, 1,  قتلوا۟,  15
تؤمنون, 8,   يؤمنون, 87,  مؤمنون,  35,  ,  , تؤمنوا۟, 10,   يؤمنوا۟, 15,  ,  
تشركون, 7,   يشركون, 20,  مشركون,  6,  ,  , تشركوا۟, 3,   يشركوا۟, 0,  ,  
تكتمون, 7,   يكتمون, 7,  ,  ,  ,  , تكتموا۟, 2,   يكتموا۟, 0,  ,  
تريدون, 7,   يريدون, 16,  ,  ,  ,  , تريدوا۟, 0,   يريدوا۟, 1,  ,  
